130052-M;1;"CHALECO HART MONTARAZ-V - Tª M";"17/10/2018 13:22:46";68,99;69,95;1254;"EVIA SUMINISTROS EVIA, S.L.";0;;"BF21, BF22, BF23, COMPARADOR, COMP_FR, COMP_PT, RBE22, RBE23, RBE24, RBV23, RECOMENDADO, REVER242";"01/03/2024 13:15:05";100083420;"100028360
"
130052-S;1;"CHALECO HART MONTARAZ-V - Tª S";"17/10/2018 13:22:46";68,99;69,95;1254;"EVIA SUMINISTROS EVIA, S.L.";0;;"BF21, BF22, BF23, RBE22, RBE23, RBE24, RBV23, REVER242";"01/03/2024 13:15:05";100083419;"100028360
"
130052-XL;1;"CHALECO HART MONTARAZ-V - Tª XL";"17/10/2018 13:22:46";68,99;69,95;1254;"EVIA SUMINISTROS EVIA, S.L.";4;;"BF21, BF22, BF23, RBE22, RBE23, RBE24, RBV23, RECOMENDADO, REVER242";"01/03/2024 13:15:05";100083422;"100028360
"
130052-XXL;1;"CHALECO HART MONTARAZ-V - Tª XXL";"17/10/2018 13:22:46";68,99;69,95;1254;"EVIA SUMINISTROS EVIA, S.L.";0;;"BF21, BF22, BF23, RBE22, RBE23, RBE24, RBV23, REVER242";"01/03/2024 13:15:05";100083424;"100028360
"
131308;2;"CHALECO DE CAMUFLAJE CON 2 CANANAS T.8 (XXL)";"18/06/2004 19:29:50";24,99;34,99;1254;"EVIA SUMINISTROS EVIA, S.L.";5;;"BF21, BF22, BF23, LB22, LB23, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242, RV21";;3470;"232
"
131311-M;2;"CHALECO SCOTTISH T.M";"10/07/2017 11:19:35";39,99;69,99;100000926;TREESCO;5;;"BF21, BF22, BF23, LB23, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242, RV21, TEMPORADA_INVIERNO";;100098628;"100032814
"
131984-L;1;"POLO BORDADO DE CAZA SS12 T-L";"26/06/2015 17:25:17";23,99;23,99;100000926;TREESCO;4;;"CSW, RBE24, RBV23, REVER242, RV21";;100126875;"100040769
"
131984-M;1;"POLO BORDADO DE CAZA SS12 T-M";"26/06/2015 17:25:17";23,99;23,99;100000926;TREESCO;3;;"CSW, RBE22, RBE24, RBV23, REVER242, RV21";;100126874;"100040769
"
131984-S;1;"POLO BORDADO DE CAZA SS12 T-S";"26/06/2015 17:25:17";23,99;23,99;100000926;TREESCO;1;;"CSW, RBE24, RBV23, REVER242, RV21";;100126873;"100040769
"
131984-XL;1;"POLO BORDADO DE CAZA SS12 T-XL";"26/06/2015 17:25:17";23,99;23,99;100000926;TREESCO;0;;"CSW, RBE24, RBV23, REVER242, RV21";;100126876;"100040769
"
131984-XXL;1;"POLO BORDADO DE CAZA SS12 T-XXL";"26/06/2015 17:25:17";23,99;23,99;100000926;TREESCO;2;;"CSW, RBE22, RBE24, RBV23, REVER242, RV21";;100126877;"100040769
"
135102-4XL;1;"SOFTSHELL TOLEDO T-4XL";"05/08/2016 9:29:49";85,99;85,99;100000926;TREESCO;0;"CAZA 2017-2018, CAZA 2016-2017";"BF22, BF23, CSW, RBE23, RBE24, REVER242";;100162266;"100010581
"
135102-L;1;"SOFTSHELL TOLEDO T-L";"09/07/2015 14:39:15";85,99;85,99;100000926;TREESCO;0;"CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16";"BF22, BF23, CSW, RBE23, RBE24, REVER242";;100028143;"100010581
"
135102-M;1;"SOFTSHELL TOLEDO T-M";"09/07/2015 14:39:14";85,99;85,99;100000926;TREESCO;0;"CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16";"BF22, BF23, CSW, RBE23, RBE24, REVER242";;100028142;"100010581
"
135102-XL;1;"SOFTSHELL TOLEDO T-XL";"09/07/2015 14:39:15";85,99;85,99;100000926;TREESCO;0;"CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16";"BF22, BF23, CSW, RBE23, RBE24, REVER242, TEMPORADA_INVIERNO";;100028144;"100010581
"
